"icao","name","city","country","lat","lon","elev_ft","size","continent","runway_ft","paved"
"00AN","Katmai Lodge Airport","King Salmon","US","59.093287","-156.456699","80","small_airport","NA","4517","0"
"00CA","Goldstone (GTS) Airport","Barstow","US","35.35474","-116.885329","3038","small_airport","NA","6000","1"
"00FA","Grass Patch Airport","Bushnell","US","28.64550018310547","-82.21900177001953","53","small_airport","NA","3200","0"
"00FL","River Oak Airport","Okeechobee","US","27.230899810791016","-80.96920013427734","35","small_airport","NA","4700","0"
"00ID","Delta Shores Airport","Clark Fork","US","48.145301818847656","-116.21399688720703","2064","small_airport","NA","3500","0"
"01CL","Swansboro Country Airport","Placerville","US","38.7999","-120.734001","2594","small_airport","NA","3100","1"
"01FL","Cedar Knoll Flying Ranch Airport","Geneva","US","28.78190040588379","-81.1592025756836","19","small_airport","NA","3000","0"
"01ID","Lava Hot Springs Airport","Lava Hot Springs","US","42.6082","-112.031998","5268","small_airport","NA","3400","0"
"01MT","Crystal Lakes Resort Airport","Fortine","US","48.789100646972656","-114.87999725341797","3141","small_airport","NA","5000","1"
"01NC","Topsail Airpark","Holly Ridge","US","34.47529983520508","-77.5813980102539","65","small_airport","NA","3200","0"
"01UT","La Sal Junction Airport","La Sal","US","38.30830001831055","-109.39600372314453","6000","small_airport","NA","3200","0"
"01WY","Keyhole Airport","Pine Haven","US","44.348312","-104.8106","4250","small_airport","NA","4360","0"
"02CL","Conover Air Lodge Airport","Frazier Park","US","34.761101","-119.058998","5160","small_airport","NA","3000","0"
"02FA","Osborn Airfield","Groveland","US","28.526699","-81.874802","121","small_airport","NA","3585","0"
"02FD","Triple R Ranch Airport","Baker","US","30.950976","-86.635555","209","small_airport","NA","3443","0"
"02GE","Etowah Fields Airport","Euharlee","US","34.17530059814453","-84.92440032958984","710","small_airport","NA","3400","0"
"02NM","FFR Animas Landing Strip","Animas","US","32.09071","-108.870735","4240","small_airport","NA","4247","0"
"02SC","Harpers Airport","Estill","US","32.760211","-81.225872","111","small_airport","NA","3600","0"
"02UT","Lucin Airport","Lucin","US","41.369336","-113.841019","4412","small_airport","NA","4000","0"
"02VA","The Greenhouse Airport","Culpeper","US","38.435699462890625","-77.8572006225586","320","small_airport","NA","3000","0"
"03AZ","Thompson International Aviation Airport","Hereford","US","31.430971","-110.088087","4275","small_airport","NA","3600","0"
"03NC","Pilots Ridge Airport","Carolina Beach","US","34.104236","-77.905855","35","small_airport","NA","3000","1"
"03NV","Llama Ranch Airport","Ruby Valley","US","40.58440017700195","-115.2979965209961","6120","small_airport","NA","3200","0"
"03TE","Barronena Ranch Airport","Hebbronville","US","27.490812","-98.669615","600","small_airport","NA","3500","0"
"03TT","Brazos Polo Airport","Orchard","US","29.632117","-95.932481","117","small_airport","NA","3000","0"
"03UT","AZ Minerals Corporation Airport","Mexican Hat","US","37.114384","-109.99014","5315","small_airport","NA","5000","0"
